"Scenario","Sector","Subsector","Technology","Enduse","Unit","Parameters","Fuel","Period","FuelGroup","Technology_Group","Value"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2060","Electricity","Stationary Motive Power","1.086000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Natural Gas","2018","Fossil Fuels","Heating/Cooling","0.026670"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Natural Gas","2025","Fossil Fuels","Heating/Cooling","0.009376"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Natural Gas","2030","Fossil Fuels","Heating/Cooling","0.009661"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Natural Gas","2035","Fossil Fuels","Heating/Cooling","0.010404"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Natural Gas","2040","Fossil Fuels","Heating/Cooling","0.009910"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Natural Gas","2045","Fossil Fuels","Heating/Cooling","0.007419"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Natural Gas","2050","Fossil Fuels","Heating/Cooling","0.008108"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Natural Gas","2055","Fossil Fuels","Heating/Cooling","0.008859"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Natural Gas","2060","Fossil Fuels","Heating/Cooling","0.009681"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Wood","2018","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Wood","2025","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Wood","2030","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Wood","2035","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Wood","2040","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Wood","2045","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Wood","2050","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Wood","2055","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","Mt CO<sub>2</sub>/yr","Emissions","Wood","2060","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Natural Gas","2018","Fossil Fuels","Heating/Cooling","0.430000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Natural Gas","2025","Fossil Fuels","Heating/Cooling","0.151173"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Natural Gas","2030","Fossil Fuels","Heating/Cooling","0.155760"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Natural Gas","2035","Fossil Fuels","Heating/Cooling","0.167739"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Natural Gas","2040","Fossil Fuels","Heating/Cooling","0.159777"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Natural Gas","2045","Fossil Fuels","Heating/Cooling","0.119620"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Natural Gas","2050","Fossil Fuels","Heating/Cooling","0.130720"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Natural Gas","2055","Fossil Fuels","Heating/Cooling","0.142840"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Natural Gas","2060","Fossil Fuels","Heating/Cooling","0.156080"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Wood","2018","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Wood","2025","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Wood","2030","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Wood","2035","Renewables (direct use)","Heating/Cooling","0.000000"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Wood","2040","Renewables (direct use)","Heating/Cooling","0.020865"
"Kea","Industry","Non-Metallic Mineral Product Manufacturing","Boiler","Process Heat Steam/Hot Water","PJ","End Use Demand","Wood","2045","Renewables (direct use)","Heating/Cooling","0.077753"
